Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2, A3",Pololu_Breakout-16_15.2x20.3mm,3,Pololu_Breakout_DRV8825,
"C1, C2, C3, C4",CP_Radial_D10.0mm_P5.00mm,4,47uF 48v,
"C5, C7",C_Disc_D4.7mm_W2.5mm_P5.00mm,2,100nF,
"C6, C8",CP_Radial_D5.0mm_P2.00mm,2,10uF,
D2,2114,1,SS36,
J1,BarrelJack_CUI_PJ-102AH_Horizontal,1,Barrel_Jack_Switch,
J15,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin_STEPPER_B,
"J16, J18, J19, J20",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,4,Conn_01x04_Pin_STEPPER_C,
J17,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin_STEPPER_A,
"JP10, JP11, JP12, JP13, JP14, JP15, JP7, JP8, JP9",Jumper_P2.54mm_D0.7mm,9,Jumper_2_Open,
LED1,LED_D5.0mm,1,Red,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
"R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,4K7,
U1,TO-220-3_Horizontal,1,LM7805CT,
U2,MODULE_ESP32_DEVKIT_V1,1,ESP32-DEVKIT-V1,
U3,TCA9548A,1,PCA9548A,
U4,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
