Designator,Mid X,Mid Y,Rotation,Layer
A1,157.99,-56.0,180.0,top
A2,157.85,-82.81,180.0,top
A3,157.65,-108.41,180.0,top
C1,171.232323,-46.2,0.0,top
C2,171.5,-72.2,0.0,top
C3,171.6,-98.5,0.0,top
C4,156.5,-39.932323,270.0,top
C5,100.125,-55.6,0.0,top
C6,101.6,-49.7,180.0,top
C7,89.625,-76.0,0.0,top
C8,90.130113,-70.9,180.0,top
D2,95.475,-37.825,180.0,top
J1,90.225,-50.575,270.0,top
J15,171.9875,-84.275,270.0,top
J16,172.3875,-110.575,270.0,top
J17,142.46,-40.93,0.0,top
J18,124.802693,-130.036221,180.0,top
J19,111.102693,-129.986221,180.0,top
J2,172.4875,-57.875,270.0,top
J20,97.477693,-129.936221,180.0,top
JP10,147.37,-73.65,0.0,top
JP11,147.37,-76.8,0.0,top
JP12,147.37,-79.95,0.0,top
JP13,147.25,-99.3,0.0,top
JP14,147.25,-102.45,0.0,top
JP15,147.25,-105.6,0.0,top
JP7,147.44,-46.66,0.0,top
JP8,147.44,-49.81,0.0,top
JP9,147.44,-52.96,0.0,top
LED1,83.925,-63.995,90.0,top
R3,87.715,-57.475,180.0,top
R4,128.652693,-120.998721,180.0,top
R5,126.127693,-124.198721,180.0,top
R6,113.427693,-124.198721,180.0,top
R7,110.902693,-120.898721,180.0,top
R8,93.127693,-120.798721,0.0,top
R9,90.547693,-124.023721,0.0,top
U1,100.075,-58.97,180.0,top
U2,125.935,-61.4,0.0,top
U3,109.635,-108.925,180.0,top
U4,89.675,-82.725,270.0,top
