Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5, _4, _3, _2, ",,6,,
"A1, A2, A3",Pololu_Breakout-16_15.2x20.3mm,3,Pololu_Breakout_DRV8825,
"C1, C2, C3, C4",CP_Radial_D10.0mm_P5.00mm,4,47uF 48v,
"C5, C7",C_Disc_D4.7mm_W2.5mm_P5.00mm,2,100nF,
"C6, C8",CP_Radial_D5.0mm_P2.00mm,2,10uF,
D2,2114,1,SS36,
J1,BarrelJack_CUI_PJ-102AH_Horizontal,1,Barrel_Jack_Switch,
"J10, J3, J7",PinHeader_1x04_P2.54mm_Vertical,3,interface,
"J11, J5, J8",JST_XH_S7B-XH-A-1_1x07_P2.50mm_Horizontal,3,Conn_01x07_Socket,
J15,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin_STEPPER_B,
"J16, J18, J19, J20",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,4,Conn_01x04_Pin_STEPPER_C,
J17,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J2,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin_STEPPER_A,
"J4, J6, J9",PinHeader_1x03_P2.54mm_Vertical,3,power,
"JP10, JP11, JP12, JP13, JP14, JP15, JP7, JP8, JP9",Jumper_P2.54mm_D0.7mm,9,Jumper_2_Open,
LED1,LED_D5.0mm,1,Red,
"MOUSE-BITE-1MM-SLOT_22, MOUSE-BITE-1MM-SLOT_21, MOUSE-BITE-1MM-SLOT_20, MOUSE-BITE-1MM-SLOT_19, MOUSE-BITE-1MM-SLOT_18, MOUSE-BITE-1MM-SLOT_17, MOUSE-BITE-1MM-SLOT_16, MOUSE-BITE-1MM-SLOT_15, MOUSE-BITE-1MM-SLOT_14, MOUSE-BITE-1MM-SLOT_13, MOUSE-BITE-1MM-SLOT_12, MOUSE-BITE-1MM-SLOT_11, MOUSE-BITE-1MM-SLOT_10, MOUSE-BITE-1MM-SLOT_9, MOUSE-BITE-1MM-SLOT_8, MOUSE-BITE-1MM-SLOT_7, MOUSE-BITE-1MM-SLOT_6, MOUSE-BITE-1MM-SLOT_5, MOUSE-BITE-1MM-SLOT_4, MOUSE-BITE-1MM-SLOT_3, MOUSE-BITE-1MM-SLOT_2, MOUSE-BITE-1MM-SLOT",mouse-bite-1mm,22,VAL**,
"MOUSE-BITE-5MM-SLOT_7, MOUSE-BITE-5MM-SLOT_6, MOUSE-BITE-5MM-SLOT_5, MOUSE-BITE-5MM-SLOT_4, MOUSE-BITE-5MM-SLOT_3, MOUSE-BITE-5MM-SLOT_2, MOUSE-BITE-5MM-SLOT",mouse-bite-5mm-slot,7,VAL**,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
"R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,4K7,
U1,TO-220-3_Horizontal,1,LM7805CT,
U2,MODULE_ESP32_DEVKIT_V1,1,ESP32-DEVKIT-V1,
U3,TCA9548A,1,PCA9548A,
U4,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
